name,uni_roll,branch
Frank Richards,UNI010494,BT
Robert Edwards,UNI010495,EE
Kristin West,UNI010496,ME
Michael Kerr,UNI010497,PHM
Stacy Kennedy,UNI010498,CE
Christine Zuniga,UNI010499,BT
David Nguyen,UNI010500,ECE
Jason Blake,UNI010501,ME
Matthew Martinez,UNI010502,CSE
David Hall,UNI010503,CHE
Chad Rodriguez,UNI010504,CHE
Joshua Williams,UNI010505,ECE
Steven Smith,UNI010506,BT
Gary Garcia,UNI010507,CE
Matthew Ortiz,UNI010508,CE
Mr. Jared Barber III,UNI010509,ECE
Elaine Barnes,UNI010510,CSE
Kara Jimenez,UNI010511,CE
Kathryn Gibson,UNI010512,CSE
Danny Gordon,UNI010513,BT
Jamie Martinez,UNI010514,CSE
Haley Stewart,UNI010515,CHE
Erica Hill,UNI010516,CSE
Destiny Shannon,UNI010517,CHE
Susan Crane,UNI010518,PHM
Lisa Copeland,UNI010519,ME
Scott Fleming,UNI010520,CE
Dustin Graham,UNI010521,CE
Matthew Bautista,UNI010522,PHM
Joshua Taylor,UNI010523,ME
Kim Hall,UNI010524,BT
Jason Norton,UNI010525,CHE
Stacy Gilmore,UNI010526,PHM
Melinda Galvan,UNI010527,ME
Matthew Carson,UNI010528,BT
Jonathan Steele,UNI010529,EE
Molly Pena,UNI010530,ECE
Joshua Johnson,UNI010531,CHE
Laura Pollard,UNI010532,ME
Robin Bradley,UNI010533,ME
Christopher Hartman,UNI010534,CSE
Chad Moore,UNI010535,CSE
Kayla Collier,UNI010536,CHE
Amanda Randolph,UNI010537,PHM
Tony Owen,UNI010538,BT
Gregory Lee,UNI010539,PHM
Christopher Alexander,UNI010540,PHM
Christopher Bryant,UNI010541,PHM
Natalie Johnson,UNI010542,CE
Katherine Koch,UNI010543,CSE
Rhonda Stanley,UNI010544,EE
Taylor Ray,UNI010545,BT
Jenna Armstrong,UNI010546,EE
Joshua Jones,UNI010547,ECE
Charles Todd,UNI010548,CE
Jordan Gonzalez,UNI010549,CE
Kenneth Brown,UNI010550,CSE
John Jenkins,UNI010551,ECE
Brenda Ruiz,UNI010552,CHE
Brooke Herman,UNI010553,CSE
Craig Rice,UNI010554,CHE
Don Williams,UNI010555,CE
Daniel Matthews,UNI010556,CHE
Matthew Reeves,UNI010557,BT
Kathy Todd,UNI010558,ECE
Billy Davis,UNI010559,BT
Sara Beasley,UNI010560,CHE
Sarah Mendoza,UNI010561,CHE
Calvin Cohen,UNI010562,BT
Leonard Peterson PhD,UNI010563,EE
Taylor Goodman,UNI010564,EE
Nicole Stout,UNI010565,CHE
Michelle Bryant,UNI010566,CSE
Sonia Davis,UNI010567,ECE
Benjamin Wiley,UNI010568,CE
Michael Hamilton,UNI010569,PHM
Christopher Martin,UNI010570,CE
Richard Johns,UNI010571,BT
Alexandra Wilkerson,UNI010572,BT
Robert Ruiz,UNI010573,CHE
Howard Friedman,UNI010574,CE
Savannah Brown,UNI010575,EE
Alison Williams,UNI010576,CE
Amy Hancock,UNI010577,PHM
Patrick Walker,UNI010578,EE
Margaret Pollard,UNI010579,ME
Nicole Gonzalez,UNI010580,BT
Larry Sanchez,UNI010581,EE
William Obrien,UNI010582,EE
James Monroe,UNI010583,CE
Mr. Anthony George Jr.,UNI010584,BT
Cynthia Stuart,UNI010585,CE
Kyle Torres,UNI010586,CE
Seth Fox,UNI010587,BT
Jorge Welch,UNI010588,PHM
David Cowan,UNI010589,CHE
Gary Brock,UNI010590,ECE
Vincent Wagner,UNI010591,CE
Jonathan Trujillo,UNI010592,CSE
Courtney Little,UNI010593,ME
James Wood,UNI010594,ME
Joshua Green,UNI010595,ME
Jonathon Mahoney,UNI010596,CE
Angela Rodriguez,UNI010597,CE
Mckenzie Stewart,UNI010598,CHE
Robin Mcgee,UNI010599,CSE
Charles Hanson,UNI010600,BT
Elijah Kelley,UNI010601,ECE
James Noble,UNI010602,CHE
Hannah Taylor,UNI010603,ME
Taylor Boyd,UNI010604,BT
Megan Crawford,UNI010605,CHE
Karina Johnson,UNI010606,EE
Mary Acosta,UNI010607,ME
Virginia Jones,UNI010608,EE
Debra Scott,UNI010609,EE
Matthew Flores,UNI010610,ECE
Richard Davis,UNI010611,CSE
John Mooney,UNI010612,CE
Stephen Price,UNI010613,EE
Erika Diaz,UNI010614,CSE
Joseph Gordon,UNI010615,CSE
Jesse Hart,UNI010616,BT
Louis Martinez,UNI010617,BT
Terry White,UNI010618,BT
Samantha Gilbert,UNI010619,EE
Sarah Lewis,UNI010620,EE
Candace Murray,UNI010621,ME
Austin Smith,UNI010622,CHE
Jodi Stout,UNI010623,PHM
James Houston,UNI010624,BT
Cristina Harris,UNI010625,EE
John Miles,UNI010626,CSE
Heather Gonzalez,UNI010627,CE
Yvonne Obrien,UNI010628,PHM
Jennifer Wilson,UNI010629,CSE
Willie Jackson,UNI010630,EE
Mr. James Whitaker,UNI010631,CSE
Alvin Nelson,UNI010632,CSE
Julie Ortiz,UNI010633,EE
Jennifer Gillespie,UNI010634,CE
Elizabeth Harris,UNI010635,BT
Bradley Pruitt,UNI010636,PHM
Vanessa Booth,UNI010637,PHM
Edward Mcdaniel,UNI010638,CSE
Steven Estes,UNI010639,CSE
Haley Saunders,UNI010640,EE
Jeff Esparza,UNI010641,CHE
Natalie Summers,UNI010642,CSE
Jay Montgomery,UNI010643,PHM
Kimberly Cooper,UNI010644,CE
Victoria Martin,UNI010645,CHE
Ricky Williams,UNI010646,ME
Amanda Dunn,UNI010647,ME
Daniel Nicholson,UNI010648,ME
Mr. James Mckinney,UNI010649,CSE
Renee Webb,UNI010650,CSE
Brittney Gonzales,UNI010651,CSE
Tammy Dunn,UNI010652,PHM
Kayla Peterson,UNI010653,CSE
Sandra Avila,UNI010654,ECE
William Berry,UNI010655,CE
Curtis Marquez,UNI010656,EE
Darin Gutierrez,UNI010657,ECE
David Foster,UNI010658,PHM
Jennifer Potter,UNI010659,CE
Joseph Smith,UNI010660,CE
Alejandra Mosley,UNI010661,BT
Ian Davis,UNI010662,ME
Donna Parrish,UNI010663,CHE
Kelly Williams,UNI010664,ME
Joseph Atkins,UNI010665,CHE
Alexis Carter,UNI010666,EE
Joel Wallace,UNI010667,CE
Thomas Harper,UNI010668,EE
Mia Roth,UNI010669,EE
Heidi Dalton,UNI010670,PHM
Maria Wiggins,UNI010671,PHM
Veronica Mcgee,UNI010672,CSE
Megan Watkins,UNI010673,BT
Rebecca Harmon,UNI010674,EE
Joshua Rojas,UNI010675,CSE
Peter Vasquez,UNI010676,PHM
Laura Williams,UNI010677,BT
Micheal Long,UNI010678,CHE
Rhonda Cunningham,UNI010679,PHM
Teresa Adams,UNI010680,CSE
Courtney Davis,UNI010681,ECE
Beth Valdez,UNI010682,ME
Henry Ware,UNI010683,BT
Rachael Raymond,UNI010684,CE
Andrew Young,UNI010685,PHM
Bryan Padilla,UNI010686,CHE
Anne Harmon,UNI010687,EE
Albert Koch,UNI010688,CHE
Thomas Nguyen,UNI010689,BT
Melissa Abbott,UNI010690,EE
Christopher Gordon,UNI010691,CE
Mr. Jared Blevins MD,UNI010692,CHE
Kathryn Rice,UNI010693,CE
Jessica Bryant,UNI010694,BT
William Brown,UNI010695,ME
Sara Anderson,UNI010696,CE
Jesus Woods,UNI010697,BT
Elaine Morgan,UNI010698,BT
Jennifer Ferguson,UNI010699,PHM
John Hill,UNI010700,EE
Brian Gilmore,UNI010701,BT
Tiffany Francis,UNI010702,PHM
John Barnes,UNI010703,CSE
Matthew Nolan,UNI010704,CHE
Jessica Roberts,UNI010705,CE
Brian Sanchez,UNI010706,CSE
Jennifer Gray,UNI010707,PHM
Stephanie Stevens,UNI010708,CHE
Jacob Mclaughlin,UNI010709,PHM
Andrew Chapman,UNI010710,CE
Scott Green,UNI010711,BT
Justin Gutierrez,UNI010712,ME
Wanda Jordan,UNI010713,CHE
Darlene Dixon,UNI010714,EE
Olivia Choi,UNI010715,ME
Richard Moore,UNI010716,CE
James Martin,UNI010717,ECE
Madison Brown,UNI010718,PHM
Heather Ward,UNI010719,CHE
Deborah Burnett,UNI010720,ME
Jesse Chandler,UNI010721,EE
Melissa Mclaughlin,UNI010722,CE
Julia Deleon,UNI010723,CHE
Todd Martin,UNI010724,ECE
Joshua Malone,UNI010725,PHM
Larry Yates,UNI010726,ME
Angel Miller,UNI010727,PHM
Sarah Payne,UNI010728,ECE
David Villegas,UNI010729,CE
Derrick Kennedy,UNI010730,CHE
Mark Walker,UNI010731,PHM
Kimberly Gardner,UNI010732,CSE
Jessica Schmitt,UNI010733,CHE
Isaac Roberts,UNI010734,BT
Ashley Castaneda,UNI010735,PHM
Joseph Peterson,UNI010736,CE
Sandra Jenkins,UNI010737,CE
Brian Deleon,UNI010738,CHE
Daniel Mccoy,UNI010739,CHE
Vincent Thompson,UNI010740,CE
Christina Davenport,UNI010741,CSE
Alicia Flores,UNI010742,CHE
Lori Pearson,UNI010743,ECE
Matthew Copeland,UNI010744,CSE
Lisa Smith,UNI010745,PHM
Derek Porter,UNI010746,ME
Valerie Howell,UNI010747,CHE
Taylor Lewis,UNI010748,CE
Michael Beck,UNI010749,BT
Jonathan Morris,UNI010750,BT
Joshua Miranda,UNI010751,CSE
Cynthia Parrish,UNI010752,ECE
Tracey Collins,UNI010753,ME
Mike Weber,UNI010754,PHM
Elizabeth Vargas,UNI010755,CHE
David Thomas,UNI010756,ECE
Jacqueline Marks,UNI010757,ME
Ashley Jones,UNI010758,PHM
Ryan Williams,UNI010759,CSE
Amber Brooks,UNI010760,PHM
Kyle Lee,UNI010761,PHM
Christopher Jones,UNI010762,PHM
Mary Murray,UNI010763,ME
Yvonne Carter,UNI010764,CSE
Joshua Thompson,UNI010765,CSE
Wendy Trujillo,UNI010766,PHM
Joe Ramos,UNI010767,ECE
Angela Klein,UNI010768,CE
Joseph Baker,UNI010769,CHE
Jerry Vazquez,UNI010770,PHM
Justin Ortiz,UNI010771,ECE
Diane Hernandez,UNI010772,CE
Daniel Mitchell,UNI010773,BT
Amber Peterson,UNI010774,CSE
David Garcia,UNI010775,CE
April Scott,UNI010776,ME
John Jones,UNI010777,CSE
Robert Anderson,UNI010778,CE
Amanda Murphy,UNI010779,EE
Joseph Johnson,UNI010780,EE
Joel Walton,UNI010781,CHE
David Nichols,UNI010782,PHM
Brian Wise,UNI010783,BT
Shannon Allen,UNI010784,ME
Charles Bryant,UNI010785,PHM
Matthew Kerr,UNI010786,PHM
Donald Rivera,UNI010787,ECE
Amy May,UNI010788,CE
Diane Rodriguez,UNI010789,ECE
Teresa Smith,UNI010790,CHE
Scott Martinez,UNI010791,CSE
Kristina Carroll,UNI010792,ME
Tiffany Williams,UNI010793,ME
Jesus Wilson,UNI010794,CSE
Brandon Roberts,UNI010795,BT
William Morrow,UNI010796,ME
David Snow,UNI010797,ME
Cathy Simpson,UNI010798,CSE
Mitchell Hammond DDS,UNI010799,CHE
Wayne Whitaker,UNI010800,PHM
Terry Johnson,UNI010801,CSE
Jesse Fields,UNI010802,PHM
William Ellis,UNI010803,ECE
Keith Moore,UNI010804,BT
Jonathan Pena,UNI010805,ECE
Melissa Bennett,UNI010806,PHM
David Payne,UNI010807,CHE
Alexis Nichols,UNI010808,CHE
Allison Rodriguez,UNI010809,CSE
Aaron Charles,UNI010810,BT
Antonio Watts,UNI010811,BT
Jeff Lewis,UNI010812,CHE
Jacqueline Daniels,UNI010813,EE
Kayla Lewis,UNI010814,ECE
Christopher Lewis,UNI010815,EE
Ryan Hatfield,UNI010816,CE
Brian Cox,UNI010817,ME
Eric Vega,UNI010818,PHM
Lee Carpenter,UNI010819,BT
Rita Avila,UNI010820,CSE
Gabriel Mccarthy,UNI010821,BT
Jennifer Reyes,UNI010822,CSE
Joshua Hayes,UNI010823,CSE
Amy Conway,UNI010824,BT
Joseph Hernandez,UNI010825,EE
Brian Turner,UNI010826,ME
Stacy Durham,UNI010827,ME
Travis Frey,UNI010828,EE
Mary Peters,UNI010829,CSE
William Quinn,UNI010830,BT
Mr. Joseph Woods DVM,UNI010831,BT
Julie Dean,UNI010832,BT
Anthony Shaffer,UNI010833,CE
Carolyn Howard,UNI010834,CSE
Alicia Weber,UNI010835,CHE
Michael Mitchell,UNI010836,EE
Jessica Anderson,UNI010837,CHE
Cody Davila,UNI010838,CE
Andrew Hammond,UNI010839,EE
Sean Harris,UNI010840,EE
James Martin,UNI010841,ECE
Kyle Fisher,UNI010842,CSE
Jerry Alvarez,UNI010843,CE
Nancy Benjamin,UNI010844,BT
Mary Nixon,UNI010845,ME
Sandra Reyes,UNI010846,BT
Daniel Kelly,UNI010847,CSE
Dr. Susan Navarro DDS,UNI010848,EE
Juan Perkins,UNI010849,EE
Pamela Mcintosh,UNI010850,EE
Michael Perry,UNI010851,ECE
Tiffany Thornton,UNI010852,EE
Sean Black,UNI010853,CSE
April Webb,UNI010854,CHE
Samuel Marks,UNI010855,CE
Peggy Guzman,UNI010856,EE
Jennifer Cole,UNI010857,CSE
Amy Boone,UNI010858,CSE
Sandy Key,UNI010859,ME
Jennifer Ortiz,UNI010860,CE
Molly Miller,UNI010861,CE
Summer Johnson,UNI010862,PHM
Andrea Johnson,UNI010863,ME
Sharon Diaz,UNI010864,CE
Juan Wu,UNI010865,PHM
Anthony Silva,UNI010866,CE
Danielle Hudson DDS,UNI010867,ME
Olivia Martinez,UNI010868,EE
Steven Payne,UNI010869,EE
Bianca Carson,UNI010870,EE
Mark Morrison,UNI010871,CSE
Stephen Cherry,UNI010872,ME
Robert Brooks,UNI010873,ECE
Mrs. Laura Rivera,UNI010874,CE
Daniel Fox,UNI010875,EE
Bobby Morris,UNI010876,EE
Daniel Campbell,UNI010877,ME
Jonathan Chambers,UNI010878,ECE
Clarence Barron,UNI010879,PHM
Heather Thornton,UNI010880,CHE
Steven Thomas,UNI010881,ME
Stephanie Taylor,UNI010882,CHE
Mary Hayes,UNI010883,PHM
Michael Lynch,UNI010884,CE
Anna Black,UNI010885,EE
William Ruiz,UNI010886,PHM
James Davila,UNI010887,ECE
Ashley Robertson,UNI010888,ME
Alexis Allen,UNI010889,ECE
Mrs. Bonnie Wiggins PhD,UNI010890,CHE
Richard Hawkins,UNI010891,EE
Brent Hudson,UNI010892,ME
Amy Keller,UNI010893,CE
Bryan Gonzalez,UNI010894,CHE
Lisa Sutton,UNI010895,EE
Shannon Bradley,UNI010896,PHM
Derek Walker,UNI010897,ECE
Brittany Thompson,UNI010898,BT
Leslie Morgan,UNI010899,ECE
Robert Smith,UNI010900,BT
Kenneth Salas,UNI010901,CHE
Wendy Carter,UNI010902,CSE
William Reynolds,UNI010903,CHE
Gregory Salas,UNI010904,ME
Mary Powell,UNI010905,EE
Heather Collins,UNI010906,EE
Erika Smith,UNI010907,CE
Carol Weber,UNI010908,CSE
Anthony Hall,UNI010909,CSE
Walter Jacobs,UNI010910,ECE
Justin Esparza,UNI010911,CHE
John Holland,UNI010912,ME
Tracy Williamson,UNI010913,ME
Tammy Sexton,UNI010914,CHE
Jonathan Kelly,UNI010915,ME
Sean Garcia,UNI010916,CE
Mary Meyers,UNI010917,ECE
Christopher Stewart,UNI010918,CSE
Ryan Chavez,UNI010919,ECE
Kelsey Frederick,UNI010920,ECE
Barry Brown,UNI010921,EE
Alexandria Alexander,UNI010922,CHE
Catherine Jackson,UNI010923,CSE
Michelle Hodges,UNI010924,ECE
Rebecca Mann,UNI010925,BT
Gabrielle Lee,UNI010926,CE
Dustin Shannon,UNI010927,EE
Dwayne Carlson,UNI010928,EE
Elizabeth Olson,UNI010929,CE
Sarah James,UNI010930,EE
Kristina Turner,UNI010931,CSE
Benjamin Harris,UNI010932,CSE
James Ferguson,UNI010933,PHM
Adam Schultz,UNI010934,ECE
Karen Peterson,UNI010935,PHM
Mrs. Kimberly Brown,UNI010936,CE
Jeffrey Morrow,UNI010937,EE
Ronald Hubbard,UNI010938,ME
Jason Torres,UNI010939,CHE
Eric Butler,UNI010940,ME
Misty Santos,UNI010941,ECE
Robert Dickson,UNI010942,BT
Kimberly Baker,UNI010943,ECE
Suzanne Lynn,UNI010944,CHE
Nicole Roberts,UNI010945,CE
Mark Williams,UNI010946,PHM
Brianna Parker,UNI010947,EE
Daniel Williams,UNI010948,ME
Sierra Soto,UNI010949,PHM
Tiffany Anderson,UNI010950,BT
Leah Mason,UNI010951,CHE
Javier Lewis,UNI010952,ECE
Stacy Duncan,UNI010953,CSE
Andrew Alvarado,UNI010954,CE
Matthew Caldwell,UNI010955,BT
Chad Mccarthy,UNI010956,CSE
Michelle Parker,UNI010957,CHE
Tanya Zimmerman,UNI010958,CE
Calvin Gonzalez,UNI010959,CHE
Miss Sara Wise,UNI010960,CSE
Jason Holmes,UNI010961,CE
Lisa Miller,UNI010962,PHM
Robert Brown,UNI010963,CHE
James Gutierrez,UNI010964,PHM
Christopher Grant,UNI010965,CSE
Charles Williams,UNI010966,ECE
Suzanne Huff,UNI010967,CE
Michael Briggs,UNI010968,BT
Jesse Colon,UNI010969,CHE
Lauren Sanders,UNI010970,PHM
Melinda Murray,UNI010971,ME
Brianna Brown,UNI010972,CHE
Kristen Adams,UNI010973,CSE
Gary Logan,UNI010974,CHE
Melissa Adams PhD,UNI010975,ECE
Carrie Caldwell,UNI010976,CSE
Jonathan Freeman,UNI010977,CE
Robin Brennan,UNI010978,CHE
Christopher Cunningham,UNI010979,PHM
Glen Hardin,UNI010980,PHM
James Cox,UNI010981,BT
Susan White,UNI010982,BT
Amanda Green DDS,UNI010983,CSE
Cheryl Campbell,UNI010984,CSE
Charles James,UNI010985,ME
Eric Hanson,UNI010986,PHM
Donna Clark MD,UNI010987,PHM
Mrs. Holly Morales,UNI010988,ECE
Darryl Butler,UNI010989,BT
Robert Rivera,UNI010990,ME
Kimberly Brown,UNI010991,ME
Stacy Jackson,UNI010992,CHE
Keith Clay,UNI010993,CE
James Jackson,UNI010994,CHE
Derrick Moore,UNI010995,CHE
Jacob Shields,UNI010996,PHM
Dr. Vickie Aguilar,UNI010997,CHE
Tina Campbell,UNI010998,CE
Philip Wagner,UNI010999,CSE
Teresa Hughes,UNI011000,CHE
Donald King,UNI011001,CHE
Jeffrey Murphy,UNI011002,BT
Jason Myers,UNI011003,BT
Thomas Pineda,UNI011004,CHE
Matthew Crawford,UNI011005,CE
Danielle Fisher,UNI011006,CSE
Tammy Richardson,UNI011007,PHM
Karen Thompson,UNI011008,ME
Robert Callahan,UNI011009,PHM
Harry Knight,UNI011010,ECE
Robert Peterson,UNI011011,BT
James Schneider,UNI011012,CHE
Todd Atkins,UNI011013,BT
William Lee,UNI011014,ECE
Tina Ewing,UNI011015,CSE
Donald Parsons,UNI011016,EE
Zachary Trujillo,UNI011017,ME
Joshua Harris,UNI011018,CSE
Scott Myers,UNI011019,ME
Nichole Pennington,UNI011020,EE
Garrett Murphy,UNI011021,CHE
Raymond Lee,UNI011022,BT
Calvin Reynolds,UNI011023,CHE
Kathryn Berry,UNI011024,CHE
Linda Pierce,UNI011025,ME
Henry Chavez,UNI011026,ECE
Brenda Ryan,UNI011027,ME
Larry Ellis,UNI011028,EE
David Jackson,UNI011029,ME
George Roth,UNI011030,BT
Gary White,UNI011031,CHE
Terry Russo,UNI011032,CSE
Stephanie Jones,UNI011033,PHM
Michele Jones,UNI011034,BT
Bill Miller,UNI011035,CSE
Christopher Kemp,UNI011036,ME
Brandy Martin,UNI011037,CE
William Brown,UNI011038,EE
Allen Serrano,UNI011039,CHE
Omar Thompson,UNI011040,PHM
Elizabeth Bolton,UNI011041,BT
Patricia Hill,UNI011042,CHE
Ashley Norman,UNI011043,CSE
Rose Ferguson,UNI011044,PHM
Sharon Glass,UNI011045,EE
Jason Ward,UNI011046,ECE
Brian Torres,UNI011047,CHE
Nicholas Roberts,UNI011048,CHE
Sarah Howard,UNI011049,EE
Jessica Wilson,UNI011050,BT
David Taylor,UNI011051,ECE
Alexandra Peterson,UNI011052,PHM
David Villanueva,UNI011053,CSE
Mr. John Melton,UNI011054,CE
Ashley Burns,UNI011055,ECE
Pamela Kennedy,UNI011056,ECE
Misty Davenport,UNI011057,CE
Christian Jones,UNI011058,ME
Adam Mckenzie,UNI011059,CHE
William Kramer,UNI011060,BT
Christopher Baker,UNI011061,PHM
Jacob Flowers,UNI011062,PHM
Maria Rowe,UNI011063,ME
Megan Simon,UNI011064,BT
Jennifer Phillips,UNI011065,ME
Anthony Montgomery,UNI011066,CHE
Lydia Bailey,UNI011067,CSE
Donald Bender,UNI011068,BT
Susan Valdez,UNI011069,ME
Danielle Robinson,UNI011070,ME
Cynthia Combs,UNI011071,PHM
Jane Soto,UNI011072,CSE
Zachary Dillon,UNI011073,ECE
Arthur Smith,UNI011074,ME
William Adams,UNI011075,BT
Ryan Peterson,UNI011076,CHE
Amanda Roberson,UNI011077,PHM
Karen Garcia,UNI011078,PHM
Victoria Pearson,UNI011079,BT
Courtney Hood,UNI011080,ECE
Kristen Chan,UNI011081,EE
Anne Sandoval,UNI011082,PHM
Brandon Tran,UNI011083,CE
Jeffrey Navarro,UNI011084,EE
Jon Davila,UNI011085,ECE
Luis Johnson,UNI011086,PHM
Pamela Lamb,UNI011087,EE
Monica Nelson,UNI011088,BT
Leslie Clark,UNI011089,ME
Allison Palmer,UNI011090,CSE
Zachary West,UNI011091,CHE
Anna Perkins,UNI011092,CSE
Arthur Flores MD,UNI011093,PHM
Elizabeth Kelly,UNI011094,CSE
Kimberly Gordon,UNI011095,CHE
Tammy Price,UNI011096,BT
John Horton,UNI011097,CSE
Christopher Hamilton,UNI011098,BT
Audrey Murray,UNI011099,PHM
Diana Murray,UNI011100,CE
Tracy Ware,UNI011101,PHM
Brenda Allen,UNI011102,CHE
Justin Ramirez,UNI011103,BT
Daniel Hodge,UNI011104,CE
Elizabeth Rivera,UNI011105,EE
Dr. Alexandra Gray PhD,UNI011106,EE
Monica Rice,UNI011107,CHE
Allen Walker,UNI011108,CHE
Anthony Burton,UNI011109,ECE
Miranda Shelton,UNI011110,BT
Katherine Rodriguez,UNI011111,ECE
Nicole Stone,UNI011112,ME
Taylor York,UNI011113,ME
Jeffrey Adams,UNI011114,CE
Joshua Martin,UNI011115,PHM
Tyler Williams,UNI011116,CHE
William Moran,UNI011117,CHE
Erica Hunt,UNI011118,CSE
Randall Church,UNI011119,CSE
Gerald Taylor,UNI011120,PHM
Amy Marshall,UNI011121,CSE
Mark Ross,UNI011122,CE
William Elliott,UNI011123,ECE
Amanda Spencer,UNI011124,EE
Colin Garrett,UNI011125,CHE
Lucas Alvarado,UNI011126,BT
Brandi Russell,UNI011127,ME
Margaret Cook,UNI011128,ME
Amy Jones,UNI011129,CE
Kurt Roth,UNI011130,CE
Rose Mccullough,UNI011131,BT
Aaron Sandoval,UNI011132,CE
Jeffery Miller,UNI011133,CHE
Victoria Castillo,UNI011134,CE
Monica Paul,UNI011135,ME
Pamela James,UNI011136,ECE
Alex Howard,UNI011137,BT
Kimberly Miranda,UNI011138,CSE
Rhonda Craig MD,UNI011139,CHE
Donald Marshall,UNI011140,CE
David Anthony,UNI011141,ECE
Jeffrey Howell,UNI011142,BT
Kristen Ramos MD,UNI011143,ECE
Tiffany Horton,UNI011144,CHE
Shaun King,UNI011145,BT
Julie Evans,UNI011146,CHE
Michael Buckley,UNI011147,CSE
Michael Boyd,UNI011148,CSE
Kenneth Francis,UNI011149,PHM
John Hawkins,UNI011150,PHM
Lisa Green,UNI011151,CSE
Kathleen Hunter,UNI011152,BT
Gregory Lam,UNI011153,EE
Stephen Harris,UNI011154,CE
Jacqueline Lopez,UNI011155,CSE
Rebecca Ferguson,UNI011156,CSE
Joshua Shah,UNI011157,ECE
Chad Ramirez,UNI011158,ME
Monique Turner,UNI011159,ME
Ashley Escobar,UNI011160,EE
John Lopez,UNI011161,PHM
Michael Lewis,UNI011162,ECE
Candace Barton,UNI011163,EE
Anna Gomez DDS,UNI011164,CHE
Debra Smith,UNI011165,BT
Melinda Hawkins,UNI011166,CE
Samantha Thomas,UNI011167,CSE
Walter Morrison,UNI011168,CSE
Angela Aguirre,UNI011169,PHM
Ronald Fleming,UNI011170,ME
Kelly Boyd,UNI011171,CE
Christina Williams,UNI011172,ECE
Emily Rivera,UNI011173,PHM
Eric Cook,UNI011174,CE
Joseph Contreras,UNI011175,BT
Tiffany Bell,UNI011176,CHE
Andrew Gregory,UNI011177,CE
Margaret Joseph,UNI011178,EE
David Gilbert,UNI011179,EE
Alyssa Robinson,UNI011180,PHM
Andrew Grant,UNI011181,ECE
Megan Jackson,UNI011182,CSE
Roy Hoffman,UNI011183,CHE
Andrea Strickland,UNI011184,BT
Veronica Gonzalez,UNI011185,CHE
Austin Lawson,UNI011186,EE
Cheryl Saunders,UNI011187,CSE
Gerald Mejia,UNI011188,CSE
Mr. Lawrence Moore,UNI011189,ECE
Robert Brown,UNI011190,ME
Jody Dalton,UNI011191,CSE
Tammy White,UNI011192,EE
Andrew Smith,UNI011193,ECE
Brett Williams,UNI011194,CHE
Brian Good Jr.,UNI011195,CHE
Robert Gay,UNI011196,EE
George Ray,UNI011197,BT
Glenn Mcbride,UNI011198,EE
Melissa Porter,UNI011199,EE
Courtney Ross,UNI011200,CE
Paul Adkins II,UNI011201,CHE
Angela Bowers,UNI011202,CSE
Krystal Cortez,UNI011203,EE
Amy Jackson,UNI011204,CHE
Timothy Smith,UNI011205,CHE
John Smith,UNI011206,BT
Angela Porter,UNI011207,ME
Elizabeth Williams,UNI011208,PHM
Trevor Stone,UNI011209,PHM
Rebecca Smith,UNI011210,ME
Brianna Harding,UNI011211,ECE
Daniel Vega,UNI011212,ME
Janet Mason,UNI011213,CSE
Jessica Wilson,UNI011214,ECE
Travis Craig,UNI011215,EE
Bryan Anderson,UNI011216,PHM
Paul Sims,UNI011217,EE
Taylor Lindsey,UNI011218,BT
Alexander King,UNI011219,CE
Adam Aguilar,UNI011220,BT
Richard Morton,UNI011221,CSE
Margaret Gonzalez,UNI011222,ME
Shannon Murphy,UNI011223,CHE
Connor Mccann,UNI011224,ECE
Kenneth Gray,UNI011225,ECE
Michael Johnson,UNI011226,ME
Jessica Reid,UNI011227,ME
Eric Lawson,UNI011228,PHM
Sean Wilson,UNI011229,CE
Amanda Soto,UNI011230,ME
Jessica Williams,UNI011231,PHM
Edward Newman,UNI011232,PHM
Mark Tapia,UNI011233,ECE
Lisa Torres,UNI011234,CSE
Sharon Santana,UNI011235,ME
Robert Patel,UNI011236,CHE
Sarah Jackson,UNI011237,ECE
Jennifer Wu,UNI011238,CHE
Anthony Norris,UNI011239,CHE
Ashley Gomez,UNI011240,CE
Jeffrey Perry,UNI011241,BT
Roberto Watkins,UNI011242,EE
Shawn Crawford,UNI011243,ME
Jane Curry,UNI011244,PHM
Ryan Gomez,UNI011245,CHE
Chad Shields,UNI011246,CE
Richard Estes,UNI011247,ME
Laura Browning,UNI011248,ECE
Jason Adams,UNI011249,CSE
Marc Martinez,UNI011250,ME
Jason Moore,UNI011251,ECE
Danielle Morris,UNI011252,CHE
Stephen King,UNI011253,PHM
Joseph Stafford,UNI011254,CSE
Jennifer Ward,UNI011255,BT
Patricia Lee,UNI011256,ME
Erik Fuentes,UNI011257,CSE
David Rice,UNI011258,BT
Ashley Martin,UNI011259,EE
Maria Benitez,UNI011260,EE
Jessica Cook,UNI011261,CE
Barbara Duncan,UNI011262,CHE
Taylor Stewart,UNI011263,BT
Aaron Nguyen,UNI011264,EE
Kevin Lewis,UNI011265,ECE
Pam Soto,UNI011266,CSE
Sharon Ballard,UNI011267,PHM
Michael Wilson,UNI011268,CE
Amber Gillespie,UNI011269,BT
Steven Sanchez,UNI011270,CSE
Miranda Blackwell,UNI011271,ECE
Robert Miller,UNI011272,BT
Danielle Ramirez,UNI011273,EE
Gregory Valencia,UNI011274,CE
